rental_key,rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,amount,payment_date
29,1375,6/15/2005,3555,500,6/21/2005,2,5.99,6/15/2005
30,1376,6/15/2005,4271,215,6/19/2005,1,4.99,6/15/2005
31,1377,6/15/2005,3410,245,6/22/2005,2,2.99,6/15/2005
32,1378,6/15/2005,4372,253,6/19/2005,1,1.99,6/15/2005
33,1379,6/15/2005,810,212,6/18/2005,1,0.99,6/15/2005
34,1380,6/15/2005,3376,158,6/18/2005,2,0.99,6/15/2005
35,1381,6/15/2005,3262,300,6/20/2005,2,0.99,6/15/2005
36,1382,6/15/2005,3133,455,6/22/2005,2,1.99,6/15/2005
37,1383,6/15/2005,1281,379,6/24/2005,2,8.99,6/15/2005
38,1384,6/15/2005,4242,242,6/18/2005,1,4.99,6/15/2005
39,1385,6/15/2005,4073,396,6/18/2005,1,4.99,6/15/2005
40,1386,6/15/2005,1296,322,6/20/2005,2,2.99,6/15/2005
41,1387,6/15/2005,515,278,6/17/2005,1,0.99,6/15/2005
42,1388,6/15/2005,3987,500,6/22/2005,1,5.99,6/15/2005
43,1389,6/15/2005,965,472,6/19/2005,2,4.99,6/15/2005
44,1390,6/15/2005,4502,254,6/19/2005,1,0.99,6/15/2005
45,1391,6/15/2005,4213,273,6/22/2005,1,6.99,6/15/2005
46,1392,6/15/2005,363,460,6/16/2005,2,0.99,6/15/2005
47,1393,6/15/2005,2767,177,6/19/2005,2,2.99,6/15/2005
48,1394,6/15/2005,2802,268,6/21/2005,2,2.99,6/15/2005
49,1395,6/15/2005,753,252,6/23/2005,2,5.99,6/15/2005
50,1396,6/15/2005,1007,103,6/17/2005,2,4.99,6/15/2005
51,1397,6/15/2005,1830,444,6/21/2005,1,3.99,6/15/2005
52,1398,6/15/2005,4402,527,6/16/2005,1,2.99,6/15/2005
53,1399,6/15/2005,1435,469,6/18/2005,1,0.99,6/15/2005
54,1400,6/15/2005,230,571,6/21/2005,2,3.99,6/15/2005
55,1401,6/15/2005,4081,366,6/21/2005,2,1.99,6/15/2005
56,1402,6/15/2005,1951,381,6/24/2005,1,3.99,6/15/2005
57,1403,6/15/2005,3380,546,6/22/2005,2,0.99,6/15/2005
58,1404,6/15/2005,2776,375,6/16/2005,1,2.99,6/15/2005
59,1405,6/15/2005,3184,243,6/21/2005,1,5.99,6/15/2005
60,1406,6/15/2005,3118,199,6/21/2005,2,4.99,6/15/2005
61,1407,6/15/2005,1286,89,6/23/2005,1,7.99,6/15/2005
62,1408,6/15/2005,2655,396,6/22/2005,1,6.99,6/15/2005
63,1409,6/15/2005,1398,297,6/21/2005,2,3.99,6/15/2005
64,1410,6/15/2005,809,356,6/21/2005,1,0.99,6/15/2005
65,1411,6/15/2005,2276,520,6/21/2005,1,0.99,6/15/2005
66,1412,6/15/2005,4236,166,6/18/2005,2,2.99,6/15/2005
67,1413,6/15/2005,3625,96,6/21/2005,2,7.99,6/15/2005
68,1414,6/15/2005,4005,304,6/22/2005,1,6.99,6/15/2005
69,1415,6/15/2005,1885,331,6/16/2005,2,2.99,6/15/2005
70,1416,6/15/2005,3816,167,6/22/2005,2,3.99,6/15/2005
71,1417,6/15/2005,1334,570,6/19/2005,2,4.99,6/15/2005
72,1418,6/15/2005,2974,591,6/18/2005,2,0.99,6/15/2005
73,1419,6/15/2005,1208,312,6/17/2005,2,0.99,6/15/2005
74,1420,6/15/2005,4149,255,6/24/2005,2,6.99,6/15/2005
75,1421,6/15/2005,2439,533,6/21/2005,2,5.99,6/15/2005
76,1422,6/15/2005,1021,1,6/19/2005,2,0.99,6/15/2005
77,1423,6/15/2005,1396,592,6/24/2005,1,5.99,6/15/2005
78,1424,6/15/2005,887,224,6/24/2005,2,7.99,6/15/2005
79,1425,6/15/2005,1308,108,6/18/2005,2,2.99,6/15/2005
80,1426,6/15/2005,4412,363,6/18/2005,2,4.99,6/15/2005
81,1427,6/15/2005,14,100,6/16/2005,1,2.99,6/15/2005
82,1428,6/15/2005,3689,583,6/22/2005,2,3.99,6/15/2005
83,1429,6/15/2005,4116,362,6/18/2005,1,2.99,6/15/2005
84,1430,6/15/2005,3412,194,6/16/2005,1,0.99,6/15/2005
85,1431,6/15/2005,3193,438,6/21/2005,1,4.99,6/15/2005
86,1432,6/15/2005,523,339,6/21/2005,2,3.99,6/15/2005
87,1433,6/15/2005,2310,88,6/16/2005,1,2.99,6/15/2005
88,1434,6/15/2005,4228,544,6/24/2005,1,10.99,6/15/2005
89,1435,6/15/2005,2769,510,6/24/2005,2,5.99,6/15/2005
90,1436,6/15/2005,924,584,6/21/2005,1,3.99,6/15/2005
91,1437,6/15/2005,3263,96,6/20/2005,1,0.99,6/15/2005
92,1438,6/15/2005,1816,82,6/17/2005,1,0.99,6/15/2005
93,1439,6/15/2005,3155,589,6/22/2005,2,4.99,6/15/2005
94,1440,6/15/2005,2921,26,6/24/2005,1,5.99,6/15/2005
95,1441,6/15/2005,2095,444,6/22/2005,2,1.99,6/15/2005
96,1442,6/15/2005,3912,122,6/22/2005,2,7.99,6/15/2005
97,1443,6/15/2005,2485,435,6/18/2005,2,0.99,6/15/2005
98,1444,6/15/2005,1303,539,6/24/2005,2,4.99,6/15/2005
99,1445,6/15/2005,3189,537,6/19/2005,2,2.99,6/15/2005
100,1446,6/15/2005,1989,506,6/23/2005,2,6.99,6/15/2005
101,1447,6/15/2005,984,471,6/21/2005,1,4.99,6/15/2005
102,1448,6/15/2005,2781,246,6/23/2005,2,1.99,6/15/2005
103,1449,6/15/2005,1525,471,6/18/2005,2,2.99,6/15/2005
104,1450,6/15/2005,4132,268,6/16/2005,2,4.99,6/15/2005
105,1451,6/15/2005,3560,18,6/19/2005,2,5.99,6/15/2005
106,1452,6/15/2005,4348,243,6/16/2005,1,0.99,6/15/2005
107,1453,6/15/2005,3274,457,6/19/2005,2,4.99,6/15/2005
108,1454,6/15/2005,102,298,6/17/2005,2,4.99,6/15/2005
109,1455,6/15/2005,2194,358,6/18/2005,2,2.99,6/15/2005
110,1456,6/15/2005,632,590,6/23/2005,2,7.99,6/15/2005
111,1457,6/15/2005,730,345,6/19/2005,1,4.99,6/15/2005
112,1458,6/15/2005,3546,178,6/21/2005,1,6.99,6/15/2005
113,1459,6/15/2005,1862,218,6/22/2005,2,2.99,6/15/2005
114,1460,6/15/2005,1405,565,6/16/2005,1,4.99,6/15/2005
115,1461,6/15/2005,4479,216,6/23/2005,1,6.99,6/15/2005
116,1462,6/15/2005,653,187,6/18/2005,2,4.99,6/15/2005
117,1463,6/15/2005,2984,569,6/21/2005,2,6.99,6/15/2005
118,1464,6/15/2005,4113,387,6/17/2005,2,0.99,6/15/2005
119,1465,6/15/2005,609,387,6/18/2005,1,0.99,6/15/2005
120,1466,6/15/2005,1057,288,6/24/2005,1,5.99,6/15/2005
121,1467,6/15/2005,688,506,6/22/2005,1,2.99,6/15/2005
122,1468,6/15/2005,228,230,6/21/2005,1,3.99,6/15/2005
123,1469,6/15/2005,2451,580,6/21/2005,1,0.99,6/15/2005
124,1470,6/15/2005,4044,11,6/25/2005,1,6.99,6/15/2005
125,1471,6/15/2005,565,428,6/24/2005,2,2.99,6/15/2005
126,1472,6/15/2005,4233,373,6/24/2005,2,6.99,6/15/2005
127,1473,6/15/2005,2377,249,6/21/2005,2,5.99,6/15/2005
128,1474,6/15/2005,164,202,6/19/2005,2,2.99,6/15/2005
129,1475,6/15/2005,1834,344,6/18/2005,2,4.99,6/15/2005
130,1476,6/15/2005,1407,1,6/25/2005,1,9.99,6/15/2005
131,1477,6/15/2005,418,51,6/19/2005,1,0.99,6/15/2005
132,1478,6/15/2005,435,336,6/18/2005,2,2.99,6/15/2005
133,1479,6/15/2005,172,592,6/17/2005,2,2.99,6/15/2005
134,1480,6/15/2005,2598,27,6/23/2005,1,4.99,6/15/2005
135,1481,6/15/2005,3041,125,6/18/2005,2,2.99,6/15/2005
136,1482,6/15/2005,3980,60,6/16/2005,1,4.99,6/15/2005
137,1483,6/15/2005,1926,242,6/24/2005,2,4.99,6/15/2005
138,1484,6/15/2005,1589,320,6/20/2005,2,3.99,6/15/2005
139,1485,6/15/2005,194,281,6/24/2005,1,5.99,6/15/2005
140,1486,6/15/2005,847,62,6/16/2005,1,0.99,6/15/2005
141,1487,6/15/2005,3791,76,6/22/2005,2,0.99,6/15/2005
142,1488,6/15/2005,1081,355,6/16/2005,1,0.99,6/15/2005
143,1489,6/15/2005,699,213,6/22/2005,1,0.99,6/15/2005
144,1490,6/15/2005,3515,123,6/22/2005,2,4.99,6/15/2005
145,1491,6/15/2005,848,354,6/20/2005,1,0.99,6/15/2005
146,1492,6/15/2005,4148,360,6/17/2005,1,0.99,6/15/2005
147,1493,6/15/2005,4581,235,6/17/2005,2,4.99,6/15/2005
148,1494,6/15/2005,244,575,6/19/2005,1,2.99,6/15/2005
149,1495,6/15/2005,1842,175,6/19/2005,2,0.99,6/15/2005
150,1496,6/15/2005,3915,290,6/17/2005,2,4.99,6/15/2005
151,1497,6/15/2005,2958,44,6/20/2005,1,3.99,6/15/2005
152,1498,6/15/2005,3690,352,6/17/2005,1,0.99,6/15/2005
153,1499,6/15/2005,165,375,6/22/2005,2,5.99,6/15/2005
154,1500,6/15/2005,2652,237,6/18/2005,2,0.99,6/15/2005
155,1501,6/15/2005,1780,148,6/23/2005,1,1.99,6/15/2005
156,1502,6/15/2005,3277,5,6/23/2005,2,3.99,6/15/2005
157,1503,6/15/2005,763,197,6/20/2005,1,2.99,6/15/2005
158,1504,6/15/2005,3621,423,6/24/2005,2,3.99,6/15/2005
159,1505,6/15/2005,2961,561,6/17/2005,2,2.99,6/15/2005
160,1506,6/15/2005,4085,404,6/22/2005,1,2.99,6/15/2005
161,1507,6/15/2005,2514,172,6/19/2005,1,0.99,6/15/2005
162,1508,6/15/2005,1141,511,6/18/2005,2,2.99,6/15/2005
163,1509,6/15/2005,655,167,6/23/2005,2,5.99,6/15/2005
164,1510,6/15/2005,989,338,6/24/2005,2,4.99,6/15/2005
165,1511,6/15/2005,1135,330,6/22/2005,1,5.99,6/15/2005
166,1512,6/15/2005,1628,452,6/23/2005,1,5.99,6/15/2005
167,1513,6/15/2005,1173,368,6/23/2005,1,9.99,6/15/2005
168,1514,6/15/2005,2937,410,6/19/2005,1,2.99,6/15/2005
169,1515,6/15/2005,3244,115,6/20/2005,2,2.99,6/15/2005
170,1516,6/15/2005,3702,530,6/17/2005,1,0.99,6/15/2005
171,1517,6/15/2005,3728,148,6/23/2005,1,6.99,6/15/2005
172,1518,6/15/2005,4537,237,6/16/2005,2,0.99,6/15/2005
173,1519,6/15/2005,1553,155,6/21/2005,2,1.99,6/15/2005
174,1520,6/15/2005,3419,341,6/24/2005,1,7.99,6/15/2005
175,1521,6/15/2005,4299,149,6/18/2005,1,2.99,6/15/2005
176,1522,6/16/2005,235,133,6/22/2005,1,3.99,6/16/2005
177,1523,6/16/2005,681,349,6/17/2005,2,0.99,6/16/2005
178,1524,6/16/2005,3439,177,6/19/2005,1,2.99,6/16/2005
179,1525,6/16/2005,1467,304,6/19/2005,2,4.99,6/16/2005
180,1526,6/16/2005,1940,499,6/19/2005,1,4.99,6/16/2005
181,1527,6/16/2005,296,188,6/21/2005,1,2.99,6/16/2005
182,1528,6/16/2005,4297,110,6/25/2005,2,8.99,6/16/2005
183,1529,6/16/2005,1688,362,6/22/2005,2,2.99,6/16/2005
184,1530,6/16/2005,2421,392,6/24/2005,2,6.99,6/16/2005
185,1531,6/16/2005,1388,515,6/22/2005,1,5.99,6/16/2005
186,1532,6/16/2005,3793,290,6/20/2005,1,0.99,6/16/2005
187,1533,6/16/2005,2452,116,6/17/2005,1,0.99,6/16/2005
188,1534,6/16/2005,3124,42,6/18/2005,1,0.99,6/16/2005
189,1535,6/16/2005,1096,202,6/20/2005,2,4.99,6/16/2005
190,1536,6/16/2005,3248,339,6/17/2005,1,4.99,6/16/2005
191,1537,6/16/2005,4577,594,6/20/2005,2,5.99,6/16/2005
192,1538,6/16/2005,708,430,6/18/2005,1,2.99,6/16/2005
193,1539,6/16/2005,267,390,6/23/2005,2,5.99,6/16/2005
194,1540,6/16/2005,2707,586,6/20/2005,2,0.99,6/16/2005
195,1541,6/16/2005,1911,189,6/22/2005,2,0.99,6/16/2005
196,1542,6/16/2005,1714,182,6/22/2005,1,3.99,6/16/2005
197,1543,6/16/2005,1188,28,6/18/2005,2,4.99,6/16/2005
198,1544,6/16/2005,269,43,6/17/2005,2,4.99,6/16/2005
199,1545,6/16/2005,762,563,6/24/2005,1,4.99,6/16/2005
200,1546,6/16/2005,3913,3,6/24/2005,1,8.99,6/16/2005
201,1547,6/16/2005,2909,343,6/19/2005,1,4.99,6/16/2005
202,1548,6/16/2005,2094,374,6/23/2005,2,1.99,6/16/2005
203,1549,6/16/2005,266,69,6/18/2005,1,2.99,6/16/2005
204,1550,6/16/2005,2003,345,6/18/2005,1,0.99,6/16/2005
205,1551,6/16/2005,4088,268,6/22/2005,1,3.99,6/16/2005
206,1552,6/16/2005,819,518,6/21/2005,2,5.99,6/16/2005
207,1553,6/16/2005,4026,416,6/19/2005,1,0.99,6/16/2005
208,1554,6/16/2005,715,155,6/22/2005,1,7.99,6/16/2005
209,1555,6/16/2005,4168,256,6/22/2005,1,2.99,6/16/2005
210,1556,6/16/2005,533,54,6/17/2005,2,4.99,6/16/2005
211,1557,6/16/2005,2617,439,6/16/2005,2,0.99,6/16/2005
212,1558,6/16/2005,4350,20,6/19/2005,2,0.99,6/16/2005
213,1559,6/16/2005,716,574,6/19/2005,1,0.99,6/16/2005
214,1560,6/16/2005,3418,239,6/24/2005,2,4.99,6/16/2005
215,1561,6/16/2005,2263,431,6/22/2005,1,2.99,6/16/2005
216,1562,6/16/2005,595,395,6/23/2005,2,0.99,6/16/2005
217,1563,6/16/2005,1516,262,6/18/2005,1,2.99,6/16/2005
218,1564,6/16/2005,145,343,6/24/2005,1,6.99,6/16/2005
219,1565,6/16/2005,3833,506,6/16/2005,2,0.99,6/16/2005
220,1566,6/16/2005,3215,174,6/24/2005,2,7.99,6/16/2005
221,1567,6/16/2005,3098,320,6/21/2005,1,1.99,6/16/2005
222,1568,6/16/2005,635,178,6/19/2005,2,2.99,6/16/2005
223,1569,6/16/2005,3927,363,6/18/2005,2,4.99,6/16/2005
224,1570,6/16/2005,3711,82,6/22/2005,2,0.99,6/16/2005
225,1571,6/16/2005,1019,54,6/22/2005,1,2.99,6/16/2005
226,1572,6/16/2005,4179,560,6/20/2005,2,1.99,6/16/2005
227,1573,6/16/2005,4536,371,6/25/2005,1,6.99,6/16/2005
228,1574,6/16/2005,161,305,6/22/2005,2,4.99,6/16/2005
229,1575,6/16/2005,3317,6,6/22/2005,2,3.99,6/16/2005
230,1576,6/16/2005,1014,442,6/24/2005,2,8.99,6/16/2005
231,1577,6/16/2005,367,327,6/24/2005,2,3.99,6/16/2005
232,1578,6/16/2005,3397,365,6/23/2005,1,6.99,6/16/2005
233,1579,6/16/2005,158,35,6/21/2005,2,0.99,6/16/2005
234,1580,6/16/2005,2479,87,6/20/2005,1,4.99,6/16/2005
235,1581,6/16/2005,4004,109,6/18/2005,1,2.99,6/16/2005
236,1582,6/16/2005,163,536,6/22/2005,1,4.99,6/16/2005
237,1583,6/16/2005,270,37,6/18/2005,1,4.99,6/16/2005
238,1584,6/16/2005,3545,434,6/21/2005,2,5.99,6/16/2005
239,1585,6/16/2005,1708,386,6/24/2005,2,3.99,6/16/2005
240,1586,6/16/2005,769,140,6/21/2005,2,4.99,6/16/2005
241,1587,6/16/2005,1781,62,6/23/2005,1,0.99,6/16/2005
242,1588,6/16/2005,4472,322,6/25/2005,2,8.99,6/16/2005
243,1589,6/16/2005,4307,293,6/24/2005,1,9.99,6/16/2005
244,1590,6/16/2005,3685,98,6/23/2005,1,5.99,6/16/2005
245,1591,6/16/2005,1648,83,6/25/2005,2,5.99,6/16/2005
246,1592,6/16/2005,3798,187,6/20/2005,2,0.99,6/16/2005
247,1593,6/16/2005,766,111,6/24/2005,2,6.99,6/16/2005
248,1594,6/16/2005,3858,470,6/25/2005,1,7.99,6/16/2005
249,1595,6/16/2005,1481,244,6/20/2005,1,5.99,6/16/2005
250,1596,6/16/2005,2552,416,6/21/2005,2,2.99,6/16/2005
251,1597,6/16/2005,743,432,6/18/2005,1,2.99,6/16/2005
252,1598,6/16/2005,4171,314,6/23/2005,1,3.99,6/16/2005
253,1599,6/16/2005,1476,215,6/21/2005,2,4.99,6/16/2005
254,1600,6/16/2005,2264,196,6/19/2005,2,0.99,6/16/2005
255,1601,6/16/2005,3115,428,6/21/2005,2,3.99,6/16/2005
256,1602,6/16/2005,1777,441,6/19/2005,2,4.99,6/16/2005
257,1603,6/16/2005,3308,395,6/17/2005,2,0.99,6/16/2005
258,1604,6/16/2005,3226,272,6/17/2005,2,4.99,6/16/2005
259,1605,6/16/2005,593,197,6/25/2005,1,8.99,6/16/2005
260,1606,6/16/2005,4290,253,6/25/2005,1,6.99,6/16/2005
261,1607,6/16/2005,3289,513,6/20/2005,2,2.99,6/16/2005
262,1608,6/16/2005,2581,386,6/24/2005,2,2.99,6/16/2005
263,1609,6/16/2005,2279,174,6/17/2005,2,0.99,6/16/2005
264,1610,6/16/2005,3551,534,6/19/2005,1,4.99,6/16/2005
265,1611,6/16/2005,1739,393,6/25/2005,2,6.99,6/16/2005
266,1612,6/16/2005,3025,355,6/19/2005,1,2.99,6/16/2005
267,1613,6/16/2005,4462,573,6/24/2005,1,4.99,6/16/2005
268,1614,6/16/2005,23,489,6/23/2005,1,3.99,6/16/2005
269,1615,6/16/2005,3894,362,6/25/2005,1,2.99,6/16/2005
270,1616,6/16/2005,2296,204,6/24/2005,1,7.99,6/16/2005
271,1617,6/16/2005,1382,83,6/25/2005,1,3.99,6/16/2005
272,1618,6/16/2005,3741,134,6/25/2005,2,9.99,6/16/2005
273,1619,6/16/2005,4258,232,6/19/2005,2,0.99,6/16/2005
274,1620,6/16/2005,389,561,6/17/2005,1,4.99,6/16/2005
275,1621,6/16/2005,3677,177,6/19/2005,1,4.99,6/16/2005
276,1622,6/16/2005,1774,311,6/21/2005,1,4.99,6/16/2005
277,1623,6/16/2005,4485,378,6/17/2005,2,4.99,6/16/2005
278,1624,6/16/2005,1066,314,6/17/2005,1,2.99,6/16/2005
279,1625,6/16/2005,3367,39,6/24/2005,2,5.99,6/16/2005
280,1626,6/16/2005,694,260,6/22/2005,2,3.99,6/16/2005
281,1627,6/16/2005,4135,468,6/24/2005,1,8.99,6/16/2005
282,1628,6/16/2005,868,427,6/25/2005,1,3.99,6/16/2005
283,1629,6/16/2005,4375,339,6/22/2005,1,4.99,6/16/2005
284,1630,6/16/2005,2413,130,6/19/2005,1,2.99,6/16/2005
285,1631,6/16/2005,2466,5,6/19/2005,1,2.99,6/16/2005
286,1632,6/16/2005,1518,319,6/17/2005,1,2.99,6/16/2005
287,1633,6/16/2005,280,4,6/17/2005,1,0.99,6/16/2005
288,1634,6/16/2005,3990,121,6/17/2005,1,2.99,6/16/2005
289,1635,6/16/2005,1187,566,6/25/2005,2,5.99,6/16/2005
290,1636,6/16/2005,2052,574,6/24/2005,1,5.99,6/16/2005
291,1637,6/16/2005,906,212,6/23/2005,2,2.99,6/16/2005
292,1638,6/16/2005,1905,181,6/18/2005,2,2.99,6/16/2005
293,1639,6/16/2005,176,450,6/25/2005,1,4.99,6/16/2005
294,1640,6/16/2005,443,86,6/17/2005,2,4.99,6/16/2005
295,1641,6/16/2005,2925,259,6/24/2005,2,7.99,6/16/2005
296,1642,6/16/2005,3875,287,6/18/2005,1,2.99,6/16/2005
297,1643,6/16/2005,1352,484,6/21/2005,2,3.99,6/16/2005
298,1644,6/16/2005,749,596,6/21/2005,1,1.99,6/16/2005
299,1645,6/16/2005,4434,234,6/23/2005,2,0.99,6/16/2005
300,1646,6/16/2005,4037,131,6/24/2005,2,9.99,6/16/2005
301,1647,6/16/2005,1936,454,6/17/2005,1,4.99,6/16/2005
302,1648,6/16/2005,457,427,6/24/2005,2,5.99,6/16/2005
303,1649,6/16/2005,390,352,6/18/2005,1,4.99,6/16/2005
304,1650,6/16/2005,4125,299,6/23/2005,1,8.99,6/16/2005
305,1651,6/16/2005,4444,524,6/17/2005,2,4.99,6/16/2005
306,1652,6/16/2005,3416,533,6/19/2005,2,0.99,6/16/2005
307,1653,6/16/2005,2294,517,6/18/2005,1,4.99,6/16/2005
308,1654,6/16/2005,1039,348,6/20/2005,2,2.99,6/16/2005
309,1655,6/16/2005,3693,488,6/23/2005,2,3.99,6/16/2005
310,1656,6/16/2005,2253,31,6/22/2005,1,4.99,6/16/2005
311,1657,6/16/2005,953,209,6/22/2005,2,4.99,6/16/2005
312,1658,6/16/2005,272,568,6/21/2005,2,4.99,6/16/2005
313,1659,6/16/2005,1182,296,6/20/2005,1,4.99,6/16/2005
314,1660,6/16/2005,2374,238,6/18/2005,2,4.99,6/16/2005
315,1661,6/16/2005,2403,508,6/24/2005,2,4.99,6/16/2005
316,1662,6/16/2005,3552,378,6/23/2005,1,5.99,6/16/2005
317,1663,6/16/2005,1558,186,6/23/2005,2,2.99,6/16/2005
318,1664,6/16/2005,2464,216,6/18/2005,2,0.99,6/16/2005
319,1665,6/16/2005,2613,490,6/23/2005,1,3.99,6/16/2005
320,1666,6/16/2005,4019,557,6/21/2005,1,0.99,6/16/2005
321,1667,6/16/2005,2362,333,6/22/2005,2,2.99,6/16/2005
322,1668,6/16/2005,2483,569,6/23/2005,2,5.99,6/16/2005
323,1669,6/16/2005,360,73,6/18/2005,1,0.99,6/16/2005
324,1670,6/16/2005,2066,328,6/19/2005,1,2.99,6/16/2005
325,1671,6/16/2005,3805,135,6/22/2005,2,1.99,6/16/2005
326,1672,6/16/2005,4206,216,6/23/2005,1,3.99,6/16/2005
327,1673,6/16/2005,907,534,6/18/2005,1,2.99,6/16/2005
328,1674,6/16/2005,3606,234,6/18/2005,2,2.99,6/16/2005
329,1675,6/16/2005,3048,371,6/24/2005,2,5.99,6/16/2005
330,1676,6/16/2005,931,171,6/21/2005,1,0.99,6/16/2005
331,1677,6/16/2005,240,191,6/23/2005,1,2.99,6/16/2005
332,1678,6/16/2005,1856,352,6/19/2005,1,4.99,6/16/2005
333,1679,6/16/2005,3959,227,6/23/2005,1,2.99,6/16/2005
334,1680,6/16/2005,4441,469,6/25/2005,2,9.99,6/16/2005
335,1681,6/16/2005,530,255,6/19/2005,1,2.99,6/16/2005
336,1682,6/16/2005,2165,476,6/22/2005,2,3.99,6/16/2005
337,1683,6/16/2005,2361,494,6/18/2005,2,2.99,6/16/2005
338,1684,6/16/2005,806,485,6/19/2005,1,2.99,6/16/2005
339,1685,6/16/2005,2754,85,6/21/2005,2,1.99,6/16/2005
340,1686,6/16/2005,3883,529,6/20/2005,1,0.99,6/16/2005
341,1687,6/16/2005,3686,140,6/18/2005,2,2.99,6/16/2005
342,1688,6/16/2005,383,49,6/18/2005,2,0.99,6/16/2005
343,1689,6/16/2005,4036,48,6/24/2005,2,9.99,6/16/2005
344,1690,6/16/2005,1099,286,6/25/2005,1,8.99,6/16/2005
345,1691,6/16/2005,4438,492,6/24/2005,1,1.99,6/16/2005
346,1692,6/16/2005,3544,514,6/17/2005,2,4.99,6/16/2005
347,1693,6/16/2005,2386,421,6/19/2005,2,4.99,6/16/2005
348,1694,6/16/2005,147,532,6/20/2005,2,4.99,6/16/2005
349,1695,6/16/2005,4436,159,6/22/2005,1,0.99,6/16/2005
350,1696,6/16/2005,3928,502,6/24/2005,2,7.99,6/16/2005
351,1697,6/16/2005,1801,340,6/23/2005,2,3.99,6/16/2005
352,1698,6/16/2005,1474,407,6/21/2005,1,2.99,6/16/2005
353,1699,6/16/2005,4507,27,6/17/2005,2,2.99,6/16/2005
354,1700,6/16/2005,4251,456,6/21/2005,2,0.99,6/16/2005
355,1701,6/16/2005,3000,315,6/22/2005,1,2.99,6/16/2005
356,1702,6/16/2005,1822,242,6/19/2005,2,4.99,6/16/2005
357,1703,6/16/2005,2346,589,6/17/2005,1,4.99,6/16/2005
358,1704,6/16/2005,4425,488,6/24/2005,1,5.99,6/16/2005
359,1705,6/16/2005,123,564,6/18/2005,2,2.99,6/16/2005
360,1706,6/16/2005,2935,26,6/25/2005,1,4.99,6/16/2005
361,1707,6/16/2005,185,4,6/18/2005,1,2.99,6/16/2005
362,1708,6/16/2005,2259,478,6/19/2005,1,0.99,6/16/2005
363,1709,6/16/2005,3501,426,6/24/2005,2,6.99,6/16/2005
364,1710,6/16/2005,144,77,6/22/2005,1,4.99,6/16/2005
365,1711,6/16/2005,273,347,6/25/2005,1,8.99,6/16/2005
366,1712,6/16/2005,1363,535,6/17/2005,1,4.99,6/16/2005
367,1713,6/16/2005,2580,164,6/18/2005,1,4.99,6/16/2005
368,1714,6/16/2005,535,477,6/24/2005,2,6.99,6/16/2005
369,1715,6/16/2005,1594,203,6/20/2005,1,2.99,6/16/2005
370,1716,6/16/2005,20,24,6/19/2005,1,2.99,6/16/2005
371,1717,6/16/2005,3007,277,6/19/2005,2,2.99,6/16/2005
372,1718,6/16/2005,288,516,6/25/2005,2,10.99,6/16/2005
373,1719,6/16/2005,2699,582,6/18/2005,1,2.99,6/16/2005
374,1720,6/16/2005,3500,543,6/21/2005,2,4.99,6/16/2005
375,1721,6/16/2005,3521,485,6/23/2005,1,8.99,6/16/2005
376,1722,6/16/2005,2142,364,6/19/2005,2,2.99,6/16/2005
377,1723,6/16/2005,2417,259,6/23/2005,2,7.99,6/16/2005
